City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,69.55,84,97,9.37,AU,2022-04-02 19:55:31
1,Coahuayana,18.7333,-103.6833,86.61,43,87,8.97,MX,2022-04-02 19:55:31
2,Pacifica,37.6138,-122.4869,75.43,68,40,5.01,US,2022-04-02 19:53:42
3,Hobart,-42.8794,147.3294,55.26,84,100,8.05,AU,2022-04-02 19:51:50
4,Avarua,-21.2078,-159.775,84.25,70,66,3.44,CK,2022-04-02 19:55:32
5,Albany,42.6001,-73.9662,50.58,37,17,4.0,US,2022-04-02 19:50:52
6,Kenai,60.5544,-151.2583,35.69,64,0,0.0,US,2022-04-02 19:55:32
7,Vaini,-21.2,-175.2,73.56,100,75,0.0,TO,2022-04-02 19:55:33
8,Maceio,-9.6658,-35.7353,83.64,65,0,11.5,BR,2022-04-02 19:55:33
9,Ancud,-41.8697,-73.8203,48.22,60,71,16.73,CL,2022-04-02 19:55:33
10,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,75,11.5,CA,2022-04-02 19:55:34
11,Port Blair,11.6667,92.75,82.44,78,40,2.3,IN,2022-04-02 19:55:34
12,Saint George,37.1041,-113.5841,81.63,20,0,5.01,US,2022-04-02 19:52:31
13,Bluff,-46.6,168.3333,57.0,73,85,20.18,NZ,2022-04-02 19:55:34
14,Tasiilaq,65.6145,-37.6368,27.12,94,100,24.34,GL,2022-04-02 19:55:35
15,Vardo,70.3705,31.1107,26.91,69,100,5.26,NO,2022-04-02 19:55:35
16,Kavieng,-2.5744,150.7967,76.66,91,100,4.79,PG,2022-04-02 19:55:35
17,Tiksi,71.6872,128.8694,-6.88,100,100,4.23,RU,2022-04-02 19:55:36
18,Victoria,22.2855,114.1577,62.26,67,99,11.01,HK,2022-04-02 19:55:01
19,Punta Arenas,-53.15,-70.9167,42.91,87,75,9.22,CL,2022-04-02 19:55:36
20,Mataura,-46.1927,168.8643,47.79,95,68,2.86,NZ,2022-04-02 19:55:36
21,Cabo San Lucas,22.8909,-109.9124,79.61,62,68,10.8,MX,2022-04-02 19:51:59
22,Georgetown,5.4112,100.3354,78.73,93,20,5.01,MY,2022-04-02 19:51:45
23,Constitucion,-35.3333,-72.4167,63.09,78,33,16.89,CL,2022-04-02 19:55:37
24,Rikitea,-23.1203,-134.9692,74.3,56,23,6.33,PF,2022-04-02 19:55:37
25,Ushuaia,-54.8,-68.3,40.66,93,100,4.61,AR,2022-04-02 19:53:13
26,Kapaa,22.0752,-159.319,76.98,92,71,4.0,US,2022-04-02 19:55:38
27,Narsaq,60.9167,-46.05,38.43,91,99,2.21,GL,2022-04-02 19:55:38
28,Norman Wells,65.282,-126.8329,-5.76,49,20,5.75,CA,2022-04-02 19:55:38
