City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,68.95,overcast clouds,-33.65,115.3333,Observatory Guest House
1,Coahuayana,MX,85.5,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
2,Pacifica,US,77.65,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
3,Hobart,AU,55.26,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
4,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
6,Kenai,US,42.89,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
7,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Maceio,BR,83.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
9,Ancud,CL,50.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
11,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
12,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
13,Bluff,NZ,57.31,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
14,Tasiilaq,GL,30.36,snow,65.6145,-37.6368,The Red House
15,Vardo,NO,27.25,overcast clouds,70.3705,31.1107,Vardø Hotel AS
16,Kavieng,PG,77.22,moderate rain,-2.5744,150.7967,Nusa Island Retreat
18,Victoria,HK,62.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
19,Punta Arenas,CL,44.71,scattered clouds,-53.15,-70.9167,Hotel Hain
20,Mataura,NZ,51.82,broken clouds,-46.1927,168.8643,Ellie's Villa
21,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
23,Constitucion,CL,61.65,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
24,Rikitea,PF,74.39,few clouds,-23.1203,-134.9692,People ThankYou
25,Ushuaia,AR,40.66,light intensity drizzle,-54.8,-68.3,Albatross Hotel
26,Kapaa,US,78.19,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Narsaq,GL,41.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
29,Lata,PT,43.43,broken clouds,40.1629,-8.3327,Casa Maquia
30,Yellowknife,CA,3.72,few clouds,62.456,-114.3525,The Explorer Hotel
31,Upernavik,GL,12.61,overcast clouds,72.7868,-56.1549,Café de Upernavik
32,Tura,IN,69.13,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
33,Praia Da Vitoria,PT,62.85,few clouds,38.7333,-27.0667,Hotel Branco I
34,Vila Franca Do Campo,PT,59.41,few clouds,37.7167,-25.4333,Pestana Bahia Praia
35,Esperance,AU,64.24,few clouds,-33.8667,121.9,Hospitality Esperance
37,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
38,Asau,RO,45.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
39,Hofn,IS,43.63,light rain,64.2539,-15.2082,Hótel Höfn
40,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
41,Mato Verde,BR,80.46,scattered clouds,-15.3972,-42.8664,Quality Hotel
42,Waipawa,NZ,58.14,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
43,Villazon,BO,67.53,clear sky,-22.0866,-65.5942,La Candelaria
44,Hilo,US,76.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
