City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Busselton,-33.65,115.3333,68.95,88,93,10.11,AU,2022-04-02 20:35:04,overcast clouds
1,Coahuayana,18.7333,-103.6833,85.5,44,91,7.65,MX,2022-04-02 20:35:04,overcast clouds
2,Pacifica,37.6138,-122.4869,77.65,63,40,5.01,US,2022-04-02 20:35:05,scattered clouds
3,Hobart,-42.8794,147.3294,55.26,84,100,8.05,AU,2022-04-02 20:30:13,overcast clouds
4,Avarua,-21.2078,-159.775,82.45,74,75,5.75,CK,2022-04-02 20:35:05,broken clouds
5,Albany,42.6001,-73.9662,51.58,34,40,3.0,US,2022-04-02 20:35:05,scattered clouds
6,Kenai,60.5544,-151.2583,42.89,65,0,8.05,US,2022-04-02 20:35:06,clear sky
7,Vaini,-21.2,-175.2,78.96,94,75,0.0,TO,2022-04-02 20:35:06,broken clouds
8,Maceio,-9.6658,-35.7353,83.64,65,0,11.5,BR,2022-04-02 20:35:06,clear sky
9,Ancud,-41.8697,-73.8203,50.23,64,50,15.73,CL,2022-04-02 20:31:51,light rain
10,Tuktoyaktuk,69.4541,-133.0374,-14.8,70,40,10.36,CA,2022-04-02 20:35:07,scattered clouds
11,Port Blair,11.6667,92.75,80.64,83,40,2.3,IN,2022-04-02 20:35:07,mist
12,Saint George,37.1041,-113.5841,81.63,19,0,8.99,US,2022-04-02 20:30:18,clear sky
13,Bluff,-46.6,168.3333,57.31,73,90,19.8,NZ,2022-04-02 20:35:08,overcast clouds
14,Tasiilaq,65.6145,-37.6368,30.36,94,100,22.55,GL,2022-04-02 20:35:08,snow
15,Vardo,70.3705,31.1107,27.25,69,100,6.71,NO,2022-04-02 20:35:08,overcast clouds
16,Kavieng,-2.5744,150.7967,77.22,90,100,7.0,PG,2022-04-02 20:35:09,moderate rain
17,Tiksi,71.6872,128.8694,-7.35,100,100,4.92,RU,2022-04-02 20:35:09,overcast clouds
18,Victoria,22.2855,114.1577,62.26,67,96,5.01,HK,2022-04-02 20:33:42,overcast clouds
19,Punta Arenas,-53.15,-70.9167,44.71,81,40,10.36,CL,2022-04-02 20:35:09,scattered clouds
20,Mataura,-46.1927,168.8643,51.82,87,67,2.91,NZ,2022-04-02 20:35:10,broken clouds
21,Cabo San Lucas,22.8909,-109.9124,80.62,60,20,19.57,MX,2022-04-02 20:31:03,few clouds
22,Georgetown,5.4112,100.3354,76.95,94,20,3.44,MY,2022-04-02 20:32:21,few clouds
23,Constitucion,-35.3333,-72.4167,61.65,84,56,14.43,CL,2022-04-02 20:35:10,broken clouds
24,Rikitea,-23.1203,-134.9692,74.39,55,17,5.64,PF,2022-04-02 20:35:11,few clouds
25,Ushuaia,-54.8,-68.3,40.66,93,100,4.61,AR,2022-04-02 20:33:18,light intensity drizzle
26,Kapaa,22.0752,-159.319,78.19,84,100,18.41,US,2022-04-02 20:35:11,heavy intensity rain
27,Narsaq,60.9167,-46.05,41.22,93,100,1.1,GL,2022-04-02 20:35:11,overcast clouds
28,Norman Wells,65.282,-126.8329,-3.96,50,20,6.91,CA,2022-04-02 20:35:12,few clouds
29,Lata,40.1629,-8.3327,43.43,59,52,3.04,PT,2022-04-02 20:35:12,broken clouds
30,Yellowknife,62.456,-114.3525,3.72,46,20,2.3,CA,2022-04-02 20:35:12,few clouds
31,Upernavik,72.7868,-56.1549,12.61,95,92,12.5,GL,2022-04-02 20:35:13,overcast clouds
32,Tura,25.5198,90.2201,69.13,91,19,2.98,IN,2022-04-02 20:35:13,few clouds
33,Praia Da Vitoria,38.7333,-27.0667,62.85,77,20,9.19,PT,2022-04-02 20:35:13,few clouds
34,Vila Franca Do Campo,37.7167,-25.4333,59.41,80,23,5.03,PT,2022-04-02 20:35:14,few clouds
35,Esperance,-33.8667,121.9,64.24,53,13,12.93,AU,2022-04-02 20:35:14,few clouds
36,Chokurdakh,70.6333,147.9167,-1.26,94,100,4.59,RU,2022-04-02 20:35:14,overcast clouds
37,Mar Del Plata,-38.0023,-57.5575,69.82,64,0,20.0,AR,2022-04-02 20:35:15,clear sky
38,Asau,46.4333,26.4,45.95,94,100,0.98,RO,2022-04-02 20:35:15,overcast clouds
39,Hofn,64.2539,-15.2082,43.63,71,100,3.69,IS,2022-04-02 20:35:16,light rain
40,Port Hedland,-20.3167,118.5667,80.65,78,55,9.22,AU,2022-04-02 20:35:16,broken clouds
41,Mato Verde,-15.3972,-42.8664,80.46,41,25,5.14,BR,2022-04-02 20:35:16,scattered clouds
42,Waipawa,-41.4122,175.5153,58.14,86,35,0.81,NZ,2022-04-02 20:35:17,scattered clouds
43,Villazon,-22.0866,-65.5942,67.53,12,6,22.03,BO,2022-04-02 20:35:17,clear sky
44,Hilo,19.7297,-155.09,76.24,91,100,9.22,US,2022-04-02 20:34:13,overcast clouds
45,Spirit River,55.7833,-118.8361,39.63,27,13,16.64,CA,2022-04-02 20:35:19,few clouds
46,Lebu,-37.6167,-73.65,58.69,96,100,10.56,CL,2022-04-02 20:38:26,overcast clouds
47,Bonfim,3.0833,-59.95,92.34,42,83,9.57,BR,2022-04-02 20:38:26,broken clouds
48,Port Elizabeth,-33.918,25.5701,63.32,91,100,1.14,ZA,2022-04-02 20:38:27,moderate rain
49,Nome,64.5011,-165.4064,20.16,42,0,8.05,US,2022-04-02 20:38:27,clear sky
50,Port Alfred,-33.5906,26.891,64.18,91,100,1.01,ZA,2022-04-02 20:34:15,overcast clouds
51,Hithadhoo,-0.6,73.0833,82.85,70,12,6.17,MV,2022-04-02 20:38:27,few clouds
52,Kodiak,57.79,-152.4072,36.91,93,20,5.75,US,2022-04-02 20:38:28,moderate rain
53,Morganton,35.7454,-81.6848,62.11,40,100,4.0,US,2022-04-02 20:35:42,overcast clouds
54,Jamalpur,24.9167,89.9333,74.19,90,74,5.08,BD,2022-04-02 20:38:28,broken clouds
